# HJD                   RV            RV_unc
 2454336.740344      107.89666        2.18641   
 2454336.854416       55.40917        1.89250  
 2454337.762866     -240.61569        2.19595 
 2454338.775146      151.56889        2.24448   
 2454338.855307      133.84199        1.94473   
 2454339.899610     -257.51645        2.21862   
 2454343.832550     -161.34957        2.17021   
 2454344.988793       86.99255        2.54951   
 2454983.990951      -81.37940        2.61751   
 2454985.021702      103.88436        2.29778   
 2454987.011291      185.28897        2.33992   
 2454988.010153     -230.02135        2.65737   
 2455014.953971      -46.34241        2.15393   
 2455016.055832        2.49426        2.10405   
 2455042.037719      182.48899        2.39123   
 2455042.986692     -233.66712        2.34085   
 2455044.074450      179.56013        2.44734   
 2455048.924050      111.42518        2.69376   
 2455075.755591      -88.76082        2.22756   
 2455080.017401        7.24282        2.68295   
 2455135.832168     -209.21447        3.44717   
 2455169.747580      197.60929        2.45326   
 2455170.698915     -152.40022        2.62251   
 2455256.157455      135.24073        2.25007   
 2455285.081111       -4.24927        2.64075   
 2455290.096892     -203.73271        2.38144   
 2455312.995267      202.06869        2.68433   
 2455321.044254     -185.09962        2.35843   
 2455322.121134      204.31465        2.38281   
 2455343.033836     -210.55491        2.42429   
 2455351.953504     -165.14665        2.26740   
 2455372.875737      202.34980        2.25157   
 2455376.062753     -201.64279        2.59818   
 2455400.025187     -162.14085        1.95070   
 2455400.860148       32.51888        2.29147   
